DATE_REPORTED,KPI_GROUP1,OVERALL_TESTED_TST,TOTAL_RESIDENTS_TESTED_TST,TOTAL_POSITIVES_TST,NO_DEATH_TST,NO_RECOVERED_TST,KPI_GROUP2,TOTAL_ICU_BEDS_HOS,ICU_BEDS_AVAILABLE_HOS,TOTAL_VENTILATORS_HOS,VENTILATORS_IN_USE_HOS,VENTILATORS_AVAILABLE_HOS,TOTAL_COVID19_PATIS_DCHOS_HOS,TOTAL_COVID19_PATIENTS_ICU_HOS,TOTAL_COVID19_NON_DCHOS_HOS,KPI_GROUP3,TOTAL_POSITIVE_FEMS,TOTAL_POSITIVE_OUT_FEMS,PERSON_RETRND_TO_WORK_FEMS,PERSON_QUARANTINE_FEMS,OUT_POSITIVE_QUARANTINE_FEMS,RETURND_TO_WORK_FEMS,KPI_GROUP4,TOTAL_POSITIVE_PSMPD,TOTAL_POSITIVE_OUT_PSMPD,RECOVRD_RETURND_TO_WORK_PSMPD,PERSON_QUARANTINE_PSMPD,OUT_POSITIVE_QUARANTINE_PSMPD,RETURND_TO_WORK_PSMPD,LIVE_LOST_MPD,KPI_GROUP5,TOTAL_POSITIVE_PSDP,TOTAL_POSITIVE_OUT_PSDP,RECOVRD_RETURND_TO_WORK_PSDP,PERSON_QUARANTINE_PSDP,OUT_POSITIVE_QUARANTINE_PSDP,RETURND_TO_WORK_PSDP,LIVE_LOST_PERSONNEL_PSDP,KPI_GROUP6,TOTAL_POSITIVE_PSDR,TOTAL_POSITIVE_ISO_PSDR,RECOVRD_RES_PSDR,RES_QUARANTINE_PSDR,OUT_POSITIVE_QUARANTINE_PSDR,RETURND_TO_GP_PSDR,LIVE_LOST_RES_PSDR,KPI_GROUP7,TOTAL_POSITIVE_PSDYP,TOTAL_POSITIVE_OUT_PSDYP,RETURND_TO_WORK_PSDYP,PERSON_QUARANTINE_PSDYP,OUT_POSITIVE_QUARANTINE_PSDYP,RETURND_PER_TO_WORK_PSDYP,LIVE_LOST_PERSONNEL_PSDYP,KPI_GROUP8,TOTAL_POSITIVE_PSDYR,TOTAL_POSITIVE_OUT_PSDYR,RECOVRD_RES_PSDYR,RES_QUARANTINE_PSDYR,OUT_POSITIVE_QUARANTINE_PSDYR,NO_LONGER_ISO_QUAR_PSDYR,RETURND_TO_GP_PSDYR,KPI_GROUP9,TOTAL_POSITIVE_PSOUCP,TOTAL_POSITIVE_OUT_PSOUCP,RETURND_TO_WORK_PSOUCP,PERSON_QUARANTINE_PSOUCP,OUT_POSITIVE_QUARANTINE_PSOUCP,RETURND_PER_TO_WORK_PSOUCP,KPI_GROUP10,TOTAL_REMOTE_QTRN_SHELTER_DHS,TOTAL_REMOTE_QRTN_DHS,REMOTE_QUARN_SHELTER_DHS,LIVE_LOST_DHS,KPI_GROUP11,TOTAL_POSITIVE_SEHP,PERSON_QUARANTINE_SEHP,POSITIVE_OUT_QUARN_SEHP,RETURND_TO_WORK_SEHP,LIVE_LOST_SEHP,KPI_GROUP12,IIC_QRNT_ISLTD_POSITIVE_SEHI,IIC_QRNT_ISLTD_EXPO_SYM_SEHI,TOTAL_IIC_ISLD_QTRN_SEHI,TOTAL_RES_NOT_ISLTD_QRTN_SEHI,LIVE_LOST_SEHI,KPI_GROUP13,DDA_POSITIVE_HSDDS,DDA_RECOVERED_HSDDS,DDA_LIVE_LOST_HSDDS,KPI_GROUP14,TOTAL_POSITIVE_CFSA,PERSON_QUARANTINE_CFSA,RETURND_TO_WORK_CFSA,LIVE_LOST_CFSA,KPI_GROUP15,TOTAL_POSITIVE_DMVP,TOTAL_POSITIVE_OUT_DMVP,RECOVERED_RETURNED_WRK_DMVP,TOTAL_QUARN_DMVP,POSITIVE_OUT_QUARN_DMVP,RETURNED_TO_WORK_DMVP,LIVE_LOST_DMVP,KPI_GROUP16,TOTAL_POSITIVE_CONF_DCPSPWIP,TOTAL_RPRTD_PENDCONF_DCPSPWIP,TOTAL_CURR_QUARN_DCPSPWIP,KPI_GROUP17,TOTAL_POSITIVE_CONF_DCPSSPIPA,TOTAL_RPRTD_PENDCONF_DCPSSPIPA,TOTAL_CURR_QUARN_DCPSSPIPA,OBJECTID
2020/05/11 04:00:00+00,Testing,31050,,6485,336,886,Hospitals,345,88,440,243,197,435,,1805,Public Safety - FEMS,104,37,67,172,209,1031,Public Safety - MPD,113,39,74,65,104,968,,Public Safety - DOC - Personnel,75,35,39,13,48,230,1,Public Safety - DOC -Residents,179,44,130,833,877,471,1,Public Safety - DYRS - Personnel,27,16,10,22,38,116,1,Public Safety - DYRS -Residents,10,4,6,44,48,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,267,349,342,15,Saint Elizabeths Hospital (SEH-Personnel) ,81,27,109,152,,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,14,Human Services - DDS,155,24,20,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,66
2020/05/12 04:00:00+00,Testing,31658,,6584,350,934,Hospitals,345,73,440,250,190,423,,1887,Public Safety - FEMS,104,35,69,115,150,1065,Public Safety - MPD,113,38,75,51,89,1007,,Public Safety - DOC - Personnel,75,30,44,12,42,240,1,Public Safety - DOC -Residents,179,40,134,828,868,481,1,Public Safety - DYRS - Personnel,27,14,12,19,33,121,1,Public Safety - DYRS -Residents,10,4,6,44,48,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,267,323,319,15,Saint Elizabeths Hospital (SEH-Personnel) ,84,19,103,157,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,156,27,21,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,67
2020/05/13 04:00:00+00,Testing,32999,,6736,358,966,Hospitals,345,74,440,264,176,397,,1895,Public Safety - FEMS,104,32,72,108,140,1075,Public Safety - MPD,113,35,78,56,91,1036,,Public Safety - DOC - Personnel,76,26,49,12,38,245,1,Public Safety - DOC -Residents,182,38,138,755,793,534,1,Public Safety - DYRS - Personnel,27,14,12,17,31,122,1,Public Safety - DYRS -Residents,10,4,6,45,49,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,269,330,312,15,Saint Elizabeths Hospital (SEH-Personnel) ,84,19,103,157,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,158,27,22,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,68
2020/05/14 04:00:00+00,Testing,34339,,6871,368,975,Hospitals,345,88,440,249,191,393,,1874,Public Safety - FEMS,104,32,72,100,132,1102,Public Safety - MPD,114,36,78,51,87,1052,,Public Safety - DOC - Personnel,76,20,55,9,29,255,1,Public Safety - DOC -Residents,180,32,142,756,788,538,1,Public Safety - DYRS - Personnel,27,13,13,18,31,125,1,Public Safety - DYRS -Residents,10,4,6,43,47,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,272,327,326,15,Saint Elizabeths Hospital (SEH-Personnel) ,87,13,100,163,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,158,38,23,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,69
2020/05/15 04:00:00+00,Testing,35532,,7042,375,998,Hospitals,345,86,440,251,189,382,,1862,Public Safety - FEMS,104,32,72,88,120,1125,Public Safety - MPD,116,38,78,43,81,1068,,Public Safety - DOC - Personnel,76,20,55,6,26,258,1,Public Safety - DOC -Residents,184,31,147,761,792,535,1,Public Safety - DYRS - Personnel,27,13,13,18,31,125,1,Public Safety - DYRS -Residents,10,4,6,42,46,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,277,321,312,15,Saint Elizabeths Hospital (SEH-Personnel) ,95,15,108,163,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,168,38,24,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,70
2020/05/16 04:00:00+00,Testing,36526,,7123,383,1023,Hospitals,345,83,440,232,208,369,,1813,Public Safety - FEMS,105,32,73,88,120,1147,Public Safety - MPD,117,39,78,44,83,1067,,Public Safety - DOC - Personnel,76,20,55,88,208,258,1,Public Safety - DOC -Residents,186,32,148,768,800,527,1,Public Safety - DYRS - Personnel,27,13,13,18,31,125,1,Public Safety - DYRS -Residents,10,4,6,44,48,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,277,326,312,15,Saint Elizabeths Hospital (SEH-Personnel) ,102,11,113,163,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,169,40,24,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,71
2020/05/17 04:00:00+00,Testing,37825,,7270,392,1028,Hospitals,345,104,440,228,212,374,,1803,Public Safety - FEMS,105,25,80,100,125,1163,Public Safety - MPD,117,39,78,44,83,1067,,Public Safety - DOC - Personnel,76,20,55,6,26,258,1,Public Safety - DOC -Residents,186,30,150,791,821,509,1,Public Safety - DYRS - Personnel,27,13,13,18,31,125,1,Public Safety - DYRS -Residents,10,4,6,44,48,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,283,312,275,15,Saint Elizabeths Hospital (SEH-Personnel) ,108,13,121,168,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,169,40,24,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,72
2020/05/18 04:00:00+00,Testing,39374,,7434,400,1040,Hospitals,345,74,440,232,208,375,,1803,Public Safety - FEMS,105,25,80,84,109,1175,Public Safety - MPD,120,38,82,47,85,1082,,Public Safety - DOC - Personnel,76,20,55,5,25,259,1,Public Safety - DOC -Residents,186,30,150,802,832,498,1,Public Safety - DYRS - Personnel,27,11,15,16,27,130,1,Public Safety - DYRS -Residents,10,3,7,45,48,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,285,306,268,15,Saint Elizabeths Hospital (SEH-Personnel) ,108,11,108,170,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,172,40,24,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,73
2020/05/19 04:00:00+00,Testing,40419,,7551,407,1059,Hospitals,345,102,440,219,221,336,,1820,Public Safety - FEMS,105,25,80,80,105,1204,Public Safety - MPD,121,39,82,46,85,1097,,Public Safety - DOC - Personnel,78,20,57,5,25,261,1,Public Safety - DOC -Residents,187,16,165,587,603,729,1,Public Safety - DYRS - Personnel,27,12,15,16,28,130,1,Public Safety - DYRS -Residents,10,3,7,42,45,0,0,Public Safety - OUC -Personnel,,,,,,,Human Services - DHS,285,286,241,15,Saint Elizabeths Hospital (SEH-Personnel) ,108,8,116,176,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,175,40,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,74
2020/05/20 04:00:00+00,Testing,41756,,7788,412,1061,Hospitals,345,54,440,221,219,342,110,1926,Public Safety - FEMS,105,25,80,70,95,1222,Public Safety - MPD,125,43,82,57,100,1092,,Public Safety - DOC - Personnel,78,19,58,4,23,263,1,Public Safety - DOC -Residents,187,16,165,589,605,730,1,Public Safety - DYRS - Personnel,27,10,16,15,25,132,1,Public Safety - DYRS -Residents,10,3,7,43,46,0,0,Public Safety - OUC -Personnel,8,7,1,15,22,19,Human Services - DHS,286,291,242,15,Saint Elizabeths Hospital (SEH-Personnel) ,108,18,116,176,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,5,13,Human Services - DDS,176,40,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,75
2020/05/21 04:00:00+00,Testing,42993,,7893,418,1069,Hospitals,345,46,440,228,212,342,112,1896,Public Safety - FEMS,105,25,80,70,95,1237,Public Safety - MPD,126,40,86,56,96,1116,,Public Safety - DOC - Personnel,78,19,58,4,23,263,1,Public Safety - DOC -Residents,193,21,166,580,601,732,1,Public Safety - DYRS - Personnel,27,10,16,15,25,132,1,Public Safety - DYRS -Residents,11,4,7,42,46,0,0,Public Safety - OUC -Personnel,9,8,1,15,23,19,Human Services - DHS,286,246,214,15,Saint Elizabeths Hospital (SEH-Personnel) ,108,4,112,180,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,56,142,12,13,Human Services - DDS,178,41,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,76
2020/05/22 04:00:00+00,Testing,38928,32735,7966,427,1075,Hospitals,345,75,440,218,222,324,110,1883,Public Safety - FEMS,106,26,80,99,125,1248,Public Safety - MPD,128,30,98,67,97,1127,,Public Safety - DOC - Personnel,78,20,58,2,22,265,1,Public Safety - DOC -Residents,193,20,167,515,535,796,1,Public Safety - DYRS - Personnel,29,12,16,19,31,132,1,Public Safety - DYRS -Residents,11,4,7,42,46,0,0,Public Safety - OUC -Personnel,9,7,2,17,24,21,Human Services - DHS,287,228,208,15,Saint Elizabeths Hospital (SEH-Personnel) ,110,4,114,180,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,49,130,13,13,Human Services - DDS,178,41,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,77
2020/05/23 04:00:00+00,Testing,40003,33576,8110,432,1080,Hospitals,345,102,440,222,218,323,106,1842,Public Safety - FEMS,106,26,80,65,91,1281,Public Safety - MPD,128,31,97,60,91,1132,,Public Safety - DOC - Personnel,79,20,58,2,22,265,1,Public Safety - DOC -Residents,193,19,168,516,535,797,1,Public Safety - DYRS - Personnel,29,12,16,19,31,132,1,Public Safety - DYRS -Residents,11,4,7,42,46,0,0,Public Safety - OUC -Personnel,9,7,2,17,24,21,Human Services - DHS,291,206,186,15,Saint Elizabeths Hospital (SEH-Personnel) ,110,4,114,180,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,49,130,13,13,Human Services - DDS,179,41,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,78
2020/05/24 04:00:00+00,Testing,40803,34194,8225,440,1080,Hospitals,345,114,440,203,237,331,106,1838,Public Safety - FEMS,106,26,80,66,91,1281,Public Safety - MPD,130,33,97,58,91,1132,,Public Safety - DOC - Personnel,79,17,170,519,536,804,1,Public Safety - DOC -Residents,193,17,170,519,536,804,1,Public Safety - DYRS - Personnel,29,12,16,19,31,132,1,Public Safety - DYRS -Residents,11,4,7,42,46,0,0,Public Safety - OUC -Personnel,9,6,3,18,24,21,Human Services - DHS,292,205,176,16,Saint Elizabeths Hospital (SEH-Personnel) ,110,4,114,180,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,49,130,13,13,Human Services - DDS,179,41,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,79
2020/05/25 04:00:00+00,Testing,42055,35262,8334,440,1080,Hospitals,345,102,440,217,223,353,113,1842,Public Safety - FEMS,107,18,89,157,175,1296,Public Safety - MPD,131,33,98,78,111,1124,,Public Safety - DOC - Personnel,79,20,58,2,22,265,1,Public Safety - DOC -Residents,193,17,170,518,535,805,1,Public Safety - DYRS - Personnel,29,12,16,19,31,132,1,Public Safety - DYRS -Residents,11,4,7,43,47,0,0,Public Safety - OUC -Personnel,10,7,3,15,22,23,Human Services - DHS,292,190,154,16,Saint Elizabeths Hospital (SEH-Personnel) ,110,4,114,180,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,49,130,13,13,Human Services - DDS,179,41,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,80
2020/05/26 04:00:00+00,Testing,42697,35682,8406,445,1082,Hospitals,345,80,440,214,226,349,113,1851,Public Safety - FEMS,107,18,89,161,179,1312,Public Safety - MPD,131,33,98,63,96,1156,,Public Safety - DOC - Personnel,80,17,62,1,18,270,1,Public Safety - DOC -Residents,193,17,170,517,534,813,1,Public Safety - DYRS - Personnel,30,11,19,20,31,138,1,Public Safety - DYRS -Residents,11,4,0,46,50,0,0,Public Safety - OUC -Personnel,10,7,3,13,20,25,Human Services - DHS,294,179,150,16,Saint Elizabeths Hospital (SEH-Personnel) ,115,3,118,180,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,49,130,13,13,Human Services - DDS,182,47,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,81
2020/05/27 04:00:00+00,Testing,43514,36284,8492,453,1082,Hospitals,345,76,440,218,222,343,108,1939,Public Safety - FEMS,107,18,89,154,172,1324,Public Safety - MPD,132,31,101,59,90,1178,,Public Safety - DOC - Personnel,80,6,73,1,7,281,1,Public Safety - DOC -Residents,205,25,174,619,644,708,1,Public Safety - DYRS - Personnel,30,10,19,21,31,138,1,Public Safety - DYRS -Residents,11,4,7,46,50,0,0,Public Safety - OUC -Personnel,10,7,3,13,20,26,Human Services - DHS,295,167,135,16,Saint Elizabeths Hospital (SEH-Personnel) ,116,26,142,186,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,31,163,32,13,Human Services - DDS,183,49,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,82
2020/05/28 04:00:00+00,Testing,43858,36511,8538,460,1089,Hospitals,345,90,440,223,217,338,114,1981,Public Safety - FEMS,109,20,89,118,138,1324,Public Safety - MPD,132,28,104,57,85,1194,,Public Safety - DOC - Personnel,80,6,73,1,7,281,1,Public Safety - DOC -Residents,205,25,174,494,519,839,1,Public Safety - DYRS - Personnel,30,8,21,20,28,141,1,Public Safety - DYRS -Residents,11,4,7,46,50,0,0,Public Safety - OUC -Personnel,10,6,4,12,18,28,Human Services - DHS,295,148,125,16,Saint Elizabeths Hospital (SEH-Personnel) ,117,27,144,187,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),80,31,163,32,13,Human Services - DDS,185,53,25,Human Services - CFSA,9,17,3,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,83
2020/05/29 04:00:00+00,Testing,45629,37881,8717,462,1100,Hospitals,345,77,440,222,218,317,109,1984,Public Safety - FEMS,111,19,92,149,168,1292,Public Safety - MPD,133,27,106,49,76,1205,,Public Safety - DOC - Personnel,80,6,73,1,7,281,1,Public Safety - DOC -Residents,205,25,174,500,525,828,1,Public Safety - DYRS - Personnel,29,7,21,18,25,142,1,Public Safety - DYRS -Residents,11,3,8,48,51,0,0,Public Safety - OUC -Personnel,10,6,4,13,19,28,Human Services - DHS,297,124,104,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,28,147,190,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),79,21,159,41,13,Human Services - DDS,187,60,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,84
2020/05/30 04:00:00+00,Testing,46483,38413,8801,466,1116,Hospitals,345,59,440,215,225,295,109,1931,Public Safety - FEMS,111,19,92,123,142,1371,Public Safety - MPD,134,28,106,48,76,1206,,Public Safety - DOC - Personnel,80,6,73,1,7,281,1,Public Safety - DOC -Residents,205,24,175,470,494,815,1,Public Safety - DYRS - Personnel,29,7,21,18,25,142,1,Public Safety - DYRS -Residents,11,3,8,48,51,0,0,Public Safety - OUC -Personnel,10,6,4,13,19,28,Human Services - DHS,297,109,85,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,28,147,190,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,22,158,41,13,Human Services - DDS,187,60,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,85
2020/05/31 04:00:00+00,Testing,47263,38975,8857,468,1126,Hospitals,345,73,440,204,236,302,108,1891,Public Safety - FEMS,111,19,92,129,148,1384,Public Safety - MPD,135,29,106,48,77,1206,,Public Safety - DOC - Personnel,80,6,73,1,7,281,1,Public Safety - DOC -Residents,205,18,181,479,497,820,1,Public Safety - DYRS - Personnel,29,7,21,18,25,142,1,Public Safety - DYRS -Residents,11,2,9,52,54,0,0,Public Safety - OUC -Personnel,10,6,4,12,18,29,Human Services - DHS,297,114,93,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,28,71,190,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,22,158,41,13,Human Services - DDS,188,65,25,Human Services - CFSA,,,,,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,86
2020/06/01 04:00:00+00,Testing,47701,39251,8886,470,1137,Hospitals,345,76,440,208,232,295,106,1887,Public Safety - FEMS,111,19,92,105,124,1395,Public Safety - MPD,138,32,106,52,84,1212,,Public Safety - DOC - Personnel,80,6,73,1,9,281,1,Public Safety - DOC -Residents,205,18,181,469,487,830,1,Public Safety - DYRS - Personnel,30,7,22,16,23,145,1,Public Safety - DYRS -Residents,11,2,9,54,56,0,0,Public Safety - OUC -Personnel,10,5,5,8,13,33,Human Services - DHS,298,104,84,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,25,144,194,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,21,168,41,13,Human Services - DDS,188,70,25,Human Services - CFSA,9,12,35,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,87
2020/06/02 04:00:00+00,Testing,49562,40751,9016,473,1138,Hospitals,345,111,440,205,235,285,103,1914,Public Safety - FEMS,111,19,92,89,108,1412,Public Safety - MPD,139,31,108,46,77,1228,,Public Safety - DOC - Personnel,83,9,73,1,10,281,1,Public Safety - DOC -Residents,206,16,183,396,412,729,1,Public Safety - DYRS - Personnel,30,8,22,15,23,147,1,Public Safety - DYRS -Residents,11,2,9,56,58,0,0,Public Safety - OUC -Personnel,10,5,5,8,13,34,Human Services - DHS,302,105,84,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,25,68,195,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,21,168,43,13,Human Services - DDS,189,77,25,Human Services - CFSA,9,12,35,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,88
2020/06/03 04:00:00+00,Testing,51096,41571,9120,475,1138,Hospitals,345,57,440,218,222,276,98,1928,Public Safety - FEMS,111,19,92,89,111,1448,Public Safety - MPD,139,29,110,35,64,1244,,Public Safety - DOC - Personnel,84,9,74,1,10,282,1,Public Safety - DOC -Residents,206,11,188,362,373,947,1,Public Safety - DYRS - Personnel,30,7,22,13,20,149,1,Public Safety - DYRS -Residents,11,2,9,55,57,0,0,Public Safety - OUC -Personnel,10,4,6,4,8,37,Human Services - DHS,302,88,76,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,25,66,197,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,21,169,43,13,Human Services - DDS,191,80,25,Human Services - CFSA,9,12,35,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,89
2020/06/04 04:00:00+00,Testing,51861,41800,9199,479,1138,Hospitals,345,58,440,205,235,273,99,1960,Public Safety - FEMS,113,21,92,106,127,1453,Public Safety - MPD,140,27,113,32,59,1256,,Public Safety - DOC - Personnel,84,8,75,0,8,284,1,Public Safety - DOC -Residents,207,11,189,330,341,975,1,Public Safety - DYRS - Personnel,30,7,22,13,20,149,1,Public Safety - DYRS -Residents,12,2,10,55,57,0,0,Public Safety - OUC -Personnel,10,4,6,5,9,38,Human Services - DHS,302,90,78,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,24,63,198,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,21,169,62,13,Human Services - DDS,193,84,25,Human Services - CFSA,9,12,35,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,90
2020/06/05 04:00:00+00,Testing,53678,43528,9269,483,1138,Hospitals,345,66,440,212,228,276,100,1985,Public Safety - FEMS,113,21,92,104,125,1460,Public Safety - MPD,140,25,114,32,57,1258,,Public Safety - DOC - Personnel,84,8,75,0,8,284,1,Public Safety - DOC -Residents,207,10,190,336,346,969,1,Public Safety - DYRS - Personnel,30,7,22,12,20,149,1,Public Safety - DYRS -Residents,12,1,12,54,55,0,0,Public Safety - OUC -Personnel,10,4,6,4,8,39,Human Services - DHS,303,94,87,16,Saint Elizabeths Hospital (SEH-Personnel) ,119,24,60,201,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,2,169,62,13,Human Services - DDS,193,84,25,Human Services - CFSA,9,9,43,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,91
2020/06/06 04:00:00+00,Testing,54547,44485,9332,489,1143,Hospitals,345,114,440,200,240,285,90,1863,Public Safety - FEMS,113,16,97,69,85,1463,Public Safety - MPD,140,25,114,32,57,1258,,Public Safety - DOC - Personnel,84,8,75,0,8,284,1,Public Safety - DOC -Residents,207,6,194,323,329,922,1,Public Safety - DYRS - Personnel,30,8,21,12,20,149,1,Public Safety - DYRS -Residents,12,1,11,54,55,0,0,Public Safety - OUC -Personnel,10,4,6,4,8,39,Human Services - DHS,303,86,83,17,Saint Elizabeths Hospital (SEH-Personnel) ,119,24,60,201,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,2,169,62,13,Human Services - DDS,193,84,25,Human Services - CFSA,9,9,43,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,92
2020/06/07 04:00:00+00,Testing,55766,45362,9389,491,1143,Hospitals,345,61,440,199,241,268,102,1854,Public Safety - FEMS,113,16,97,66,82,1482,Public Safety - MPD,140,25,114,32,57,1258,,Public Safety - DOC - Personnel,84,8,75,0,8,284,1,Public Safety - DOC -Residents,207,6,194,315,321,937,1,Public Safety - DYRS - Personnel,30,8,21,12,20,149,1,Public Safety - DYRS -Residents,12,1,11,54,55,0,0,Public Safety - OUC -Personnel,10,4,6,4,8,39,Human Services - DHS,304,79,76,17,Saint Elizabeths Hospital (SEH-Personnel) ,119,24,60,201,1,Saint Elizabeths Hospital (SEH-Individuals in Care [IIC]),81,2,169,62,13,Human Services - DDS,193,84,25,Human Services - CFSA,9,9,43,1,DMV Personnel,,,,,,,,DCPS Personnel Working In-Person,,,,DCPS Students Particpating in In-Person Activities,,,,93
